[1/5] Simulating event (seed=1)...
[2/5] Estimating mchirp_guess from the whitened-strain f^(-8/3) fit...
      mchirp_guess = 21.23844134253563
[3/5] Finding reference waveform (likelihood maximization; approximant=IMRPhenomXAS, prior_class=IntrinsicAlignedSpinIASPrior)...
Searching incoherent solution for GW1
Set intrinsic parameters, lnL = 21.844041792104274
Set time, lnL(L) = 14.406503253770035
Set sky location, lnL = 17.434110113046188
Set phase and distance, lnL = 17.434110113046188
Set mchirp_range = (np.float64(9.615868829851735), np.float64(97.08200823500712))
      reference-waveform fit SNR estimate: nan (expect ~24.8; ~3 would mean the minimize_scalar bug is present)
[4/5] Sampling the posterior (Nautilus, n_live=1000, n_eff=2000)...
Starting the nautilus sampler...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Computing | 4      | 1        | 4        | 5300     | 0.1321 | 4258  | -8.47    
Sampling  | 4      | 1        | 4        | 5400     | 0.1263 | 4282  | -8.47    
Computing | 4      | 1        | 4        | 5400     | 0.1263 | 4282  | -8.47    
Sampling  | 4      | 1        | 4        | 5500     | 0.1200 | 4294  | -8.47    
Computing | 4      | 1        | 4        | 5500     | 0.1200 | 4294  | -8.47    
Sampling  | 4      | 1        | 4        | 5600     | 0.1155 | 4314  | -8.47    
Computing | 4      | 1        | 4        | 5600     | 0.1155 | 4314  | -8.47    
Sampling  | 4      | 1        | 4        | 5700     | 0.1115 | 4331  | -8.47    
Computing | 4      | 1        | 4        | 5700     | 0.1115 | 4331  | -8.47    
Bounding  | 4      | 1        | 4        | 5800     | 0.1077 | 4348  | -8.47    
Sampling  | 5      | 1        | 4        | 5800     | 0.1181 | 3558  | -8.60    
Computing | 5      | 1        | 4        | 5800     | 0.1181 | 3558  | -8.60    
Sampling  | 5      | 1        | 4        | 5900     | 0.1017 | 4372  | -8.47    
Computing | 5      | 1        | 4        | 5900     | 0.1017 | 4372  | -8.47    
Sampling  | 5      | 1        | 4        | 6000     | 0.0957 | 4386  | -8.47    
Computing | 5      | 1        | 4        | 6000     | 0.0957 | 4386  | -8.47    
Sampling  | 5      | 1        | 4        | 6100     | 0.0906 | 4404  | -8.47    
Computing | 5      | 1        | 4        | 6100     | 0.0906 | 4404  | -8.47    
Sampling  | 5      | 1        | 4        | 6200     | 0.0863 | 4421  | -8.47    
Computing | 5      | 1        | 4        | 6200     | 0.0863 | 4421  | -8.47    
Sampling  | 5      | 1        | 4        | 6300     | 0.0818 | 4433  | -8.47    
Computing | 5      | 1        | 4        | 6300     | 0.0818 | 4433  | -8.47    
Sampling  | 5      | 1        | 4        | 6400     | 0.0782 | 4447  | -8.47    
Computing | 5      | 1        | 4        | 6400     | 0.0782 | 4447  | -8.47    
Sampling  | 5      | 1        | 4        | 6500     | 0.0750 | 4461  | -8.47    
Computing | 5      | 1        | 4        | 6500     | 0.0750 | 4461  | -8.47    
Sampling  | 5      | 1        | 4        | 6600     | 0.0716 | 4469  | -8.47    
Computing | 5      | 1        | 4        | 6600     | 0.0716 | 4469  | -8.47    
Sampling  | 5      | 1        | 4        | 6700     | 0.0678 | 4469  | -8.47    
Computing | 5      | 1        | 4        | 6700     | 0.0678 | 4469  | -8.47    
Sampling  | 5      | 1        | 4        | 6800     | 0.0651 | 4476  | -8.47    
Computing | 5      | 1        | 4        | 6800     | 0.0651 | 4476  | -8.47    
Sampling  | 5      | 1        | 4        | 6900     | 0.0623 | 4479  | -8.47    
Computing | 5      | 1        | 4        | 6900     | 0.0623 | 4479  | -8.47    
Sampling  | 5      | 1        | 4        | 7000     | 0.0602 | 4488  | -8.47    
Computing | 5      | 1        | 4        | 7000     | 0.0602 | 4488  | -8.47    
Sampling  | 5      | 1        | 4        | 7100     | 0.0583 | 4500  | -8.47    
Computing | 5      | 1        | 4        | 7100     | 0.0583 | 4500  | -8.47    
Sampling  | 5      | 1        | 4        | 7200     | 0.0566 | 4508  | -8.47    
Computing | 5      | 1        | 4        | 7200     | 0.0566 | 4508  | -8.47    
Bounding  | 5      | 1        | 4        | 7300     | 0.0545 | 4509  | -8.47    
Sampling  | 6      | 1        | 4        | 7300     | 0.0604 | 3984  | -8.54    
Computing | 6      | 1        | 4        | 7300     | 0.0604 | 3984  | -8.54    
Sampling  | 6      | 1        | 4        | 7400     | 0.0519 | 4513  | -8.47    
Computing | 6      | 1        | 4        | 7400     | 0.0519 | 4513  | -8.47    
Sampling  | 6      | 1        | 4        | 7500     | 0.0488 | 4513  | -8.47    
Computing | 6      | 1        | 4        | 7500     | 0.0488 | 4513  | -8.47    
Sampling  | 6      | 1        | 4        | 7600     | 0.0467 | 4520  | -8.47    
Computing | 6      | 1        | 4        | 7600     | 0.0467 | 4520  | -8.47    
Sampling  | 6      | 1        | 4        | 7700     | 0.0442 | 4522  | -8.47    
Computing | 6      | 1        | 4        | 7700     | 0.0442 | 4522  | -8.47    
Sampling  | 6      | 1        | 4        | 7800     | 0.0422 | 4529  | -8.47    
Computing | 6      | 1        | 4        | 7800     | 0.0422 | 4529  | -8.47    
Sampling  | 6      | 1        | 4        | 7900     | 0.0401 | 4529  | -8.47    
Computing | 6      | 1        | 4        | 7900     | 0.0401 | 4529  | -8.47    
Sampling  | 6      | 1        | 4        | 8000     | 0.0384 | 4531  | -8.47    
Computing | 6      | 1        | 4        | 8000     | 0.0384 | 4531  | -8.47    
Sampling  | 6      | 1        | 4        | 8100     | 0.0368 | 4533  | -8.47    
Computing | 6      | 1        | 4        | 8100     | 0.0368 | 4533  | -8.47    
Sampling  | 6      | 1        | 4        | 8200     | 0.0353 | 4535  | -8.47    
