[1/5] Simulating event (seed=0)...
[2/5] Estimating mchirp_guess from the whitened-strain f^(-8/3) fit...
      mchirp_guess = 21.23844134253563
[3/5] Finding reference waveform (likelihood maximization)...
Searching incoherent solution for GW0
Set intrinsic parameters, lnL = 207.4750145548004
Set time, lnL(H) = 118.07731869931102
Set sky location, lnL = 194.35292957472166
Set phase and distance, lnL = 194.35292957472166
Set mchirp_range = (np.float64(19.789622701763705), np.float64(117.35646182836352))
      reference-waveform fit SNR estimate: 18.67 (expect ~24.8; ~3 would mean the minimize_scalar bug is present)
[4/5] Sampling the posterior (Nautilus, n_live=1000, n_eff=2000)...
Starting the nautilus sampler...
Please report issues at github.com/johannesulf/nautilus.
Status    | Bounds | Ellipses | Networks | Calls    | f_live | N_eff | log Z    
Computing | 7      | 1        | 4        | 7700     | 1.0000 | 2     | +157.89  
Sampling  | 7      | 1        | 4        | 7800     | 1.0000 | 3     | +157.99  
Computing | 7      | 1        | 4        | 7800     | 1.0000 | 3     | +157.99  
Sampling  | 7      | 1        | 4        | 7900     | 1.0000 | 3     | +157.93  
Computing | 7      | 1        | 4        | 7900     | 1.0000 | 3     | +157.93  
Sampling  | 7      | 1        | 4        | 8000     | 1.0000 | 3     | +157.88  
Computing | 7      | 1        | 4        | 8000     | 1.0000 | 3     | +157.88  
Sampling  | 7      | 1        | 4        | 8100     | 1.0000 | 3     | +157.84  
Computing | 7      | 1        | 4        | 8100     | 1.0000 | 3     | +157.84  
Sampling  | 7      | 1        | 4        | 8200     | 1.0000 | 3     | +157.78  
Computing | 7      | 1        | 4        | 8200     | 1.0000 | 3     | +157.78  
Sampling  | 7      | 1        | 4        | 8300     | 1.0000 | 3     | +157.72  
Computing | 7      | 1        | 4        | 8300     | 1.0000 | 3     | +157.72  
Sampling  | 7      | 1        | 4        | 8400     | 1.0000 | 3     | +157.67  
Computing | 7      | 1        | 4        | 8400     | 1.0000 | 3     | +157.67  
Sampling  | 7      | 1        | 4        | 8500     | 1.0000 | 3     | +157.62  
Computing | 7      | 1        | 4        | 8500     | 1.0000 | 3     | +157.62  
Sampling  | 7      | 1        | 4        | 8600     | 1.0000 | 3     | +157.57  
Computing | 7      | 1        | 4        | 8600     | 1.0000 | 3     | +157.57  
Sampling  | 7      | 1        | 4        | 8700     | 1.0000 | 3     | +157.52  
Computing | 7      | 1        | 4        | 8700     | 1.0000 | 3     | +157.52  
Sampling  | 7      | 1        | 4        | 8800     | 1.0000 | 3     | +157.48  
Computing | 7      | 1        | 4        | 8800     | 1.0000 | 3     | +157.48  
Bounding  | 7      | 1        | 4        | 8900     | 1.0000 | 3     | +157.44  
Sampling  | 8      | 1        | 4        | 8900     | 0.9999 | 10    | +62.33   
Computing | 8      | 1        | 4        | 8900     | 0.9999 | 10    | +62.33   
Sampling  | 8      | 1        | 4        | 9000     | 1.0000 | 4     | +157.66  
Computing | 8      | 1        | 4        | 9000     | 1.0000 | 4     | +157.66  
Sampling  | 8      | 1        | 4        | 9100     | 1.0000 | 4     | +157.67  
Computing | 8      | 1        | 4        | 9100     | 1.0000 | 4     | +157.67  
Sampling  | 8      | 1        | 4        | 9200     | 1.0000 | 3     | +158.44  
Computing | 8      | 1        | 4        | 9200     | 1.0000 | 3     | +158.44  
Sampling  | 8      | 1        | 4        | 9300     | 1.0000 | 3     | +158.36  
Computing | 8      | 1        | 4        | 9300     | 1.0000 | 3     | +158.36  
Sampling  | 8      | 1        | 4        | 9400     | 1.0000 | 3     | +158.29  
